climate_air_2m,climate_air_temp_diff_1000_500,climate_hgt_1000,climate_hgt_500,climate_merid_moist_700,climate_merid_moist_925,climate_omega_500,climate_pottmp_diff_1000_500,climate_pottmp_diff_1000_850,climate_pr_wtr,climate_shum_700,climate_shum_925,climate_skin_temp,climate_slp,climate_zon_moist_700,climate_zon_moist_925,local_dem_0,local_dem_1,local_dem_2,local_dem_3,local_dem_4,local_dem_5,local_dem_6,local_dem_7,local_dem_8,regional_dem_0,regional_dem_1,regional_dem_2,regional_dem_3,regional_dem_4,regional_dem_5,regional_dem_6,regional_dem_7,regional_dem_8,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,date
299.97525372345933,31.35645593808853,105.41201987913811,5855.748414001088,0.9662033002797593,-0.7324070529406461,-0.021481855303534695,-27.331619095708266,-3.8671187123320823,39.91561654485884,4.250317199782141,12.250317199782138,27.675639068839676,1012.030097490107,-23.10283846344689,-112.58368718339489,94.07737,241.77652,223.80469,94.07737,94.07737,94.07737,94.07737,94.07737,94.07737,138.1692,138.1692,138.1692,138.1692,259.8324,138.1692,138.1692,138.1692,138.1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9802887997143,31.353894271950097,105.41956647894989,5855.748414001089,0.9050921199805545,-0.7645988122529113,-0.021548108130116487,-27.33439288083307,-3.862090235526899,39.923153581684836,4.250317199782141,12.25031719978214,27.682738915267265,1012.0343376710082,-23.051354521237357,-112.71607121148585,183.71875,332.047,3.34896,72.56467,39.438023,72.56467,72.56467,72.56467,72.56467,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9853238759693,31.35133260581167,105.42711307876164,5855.748414001089,0.8439809396813264,-0.7967905715651884,-0.021614360956698303,-27.33716666595788,-3.857061758721714,39.930690618510845,4.250317199782141,12.250317199782138,27.689838761694855,1012.0385778519094,-22.999870579027814,-112.84845523957686,175.57146,30.568464,30.568464,66.56983,30.568464,30.568464,30.568464,30.568464,30.568464,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.99035895222426,31.348770939673237,105.4346596785734,5855.748414001089,0.7828697593821214,-0.8289823308774535,-0.021680613783280095,-27.339940451082683,-3.852033281916531,39.938227655336846,4.250317199782141,12.250317199782138,27.69693860812245,1012.0428180328106,-22.94838663681828,-112.9808392676678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9953940284792,31.346209273534807,105.44220627838516,5855.748414001087,0.7217585790829162,-0.8611740901897187,-0.021746866609861887,-27.342714236207485,-3.8470048051113475,39.94576469216284,4.250317199782141,12.25031719978214,27.70403845455004,1012.0470582137118,-22.89690269460875,-113.11322329575877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.64236,135.64236,135.64236,8.473105,135.64236,135.64236,135.64236,135.64236,135.64236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9811274729703,31.363920499805864,105.26249016395496,5855.676099188298,0.9162375574677927,-0.586094212960601,-0.021914913652846056,-27.324763632434003,-3.8614688480349635,39.93007950741684,4.264780162340141,12.264780162340141,27.683664249309896,1012.0126164664691,-23.29512122586903,-112.8565454681469,157.83696,157.83696,157.83696,157.83696,31.797318,57.21875,157.83696,157.83696,157.83696,138.1692,138.1692,138.1692,138.1692,259.8324,138.1692,138.1692,138.1692,138.1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.98619738085137,31.361402436154673,105.27047279529236,5855.676099188299,0.8556242522528568,-0.6190500600577364,-0.021981592291464618,-27.327488129815556,-3.8564215822736583,39.93761654424284,4.264780162340141,12.264780162340141,27.69084177325674,1012.0168838993407,-23.24361036601813,-112.9904336905644,139.29059,139.29059,80.03045,1.3554685,108.13706,5.293921,139.29059,139.29059,139.29059,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9912672887324,31.35888437250347,105.27845542662979,5855.6760991883,0.7950109470378977,-0.6520059071548834,-0.0220482709300832,-27.330212627197106,-3.8513743165123504,39.945153581068844,4.264780162340141,12.264780162340141,27.698019297203594,1012.0211513322125,-23.19209950616721,-113.12432191298191,118.717415,245.16382,110.65576,96.940125,118.717415,118.717415,118.717415,118.717415,118.717415,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
299.9963371966134,31.35636630885228,105.28643805796717,5855.6760991883,0.734397641822962,-0.6849617542520177,-0.02211494956870176,-27.332937124578656,-3.846327050751045,39.952690617894845,4.264780162340141,12.264780162340141,27.705196821150448,1012.0254187650839,-23.14058864631631,-113.25821013539937,57.35804,57.35804,57.35804,57.35804,57.35804,57.35804,57.35804,57.35804,57.35804,134.84499,134.84499,134.84499,134.84499,143.2761,134.84499,134.84499,134.84499,134.84499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
300.00140710449443,31.35384824520108,105.29442068930457,5855.676099188299,0.6737843366080256,-0.7179176013491528,-0.022181628207320316,-27.335661621960202,-3.841279784989739,39.96022765472084,4.264780162340141,12.264780162340141,27.712374345097295,1012.0296861979555,-23.08907778646541,-113.39209835781683,14.364998,14.364998,14.364998,14.364998,14.364998,14.364998,14.364998,14.364998,14.364998,135.64236,135.64236,135.64236,8.473105,135.64236,135.64236,135.64236,135.64236,135.64236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,038_1961-09
